authorId,name
72579542,A. B. Jena
11586465,Namrata Kanungo
47083273,Vinayak Nayak
4229293,G. Chainy
4231147,J. Dandapat
40179454,Elena Espinosa
1825240005,Sandra Daniel
145766997,Sara B. Hernández
2042681510,Anthony Goudin
143970188,Felipe Cava
2848760,F. Barre
2393689,Elisa Galli
5551047,F. Blond
2332808,T. Léveillard
26364751,A. S. L. Kjaer
1947917,J. Petersen
2126805999,Amanda Cleemann Wang
144113233,K. Juul
50784747,I. M. Schmidt
2165505,K. Main
3149236,A. Juul
2247274066,R. B. Jensen
2321818951,I. Öztürk
15526014,S. Gervasoni
2212475291,C. Guccione
2292516624,A. Bosin
1793019,A. Vargiu
144265882,P. Ruggerone
3382206,G. Malloci
1490676863,Marvin M. Agüero-Torales
2327346884,Carlos Rodríguez Abellán
2326120197,Marta Carcajona Mata
2327348038,Delia Irazú Hernández Farías
2327604865,Mario Solís López
1414073449,Antonio Miranda-Escalada
2327347967,Sergio López-Alvárez
2326120143,Jorge Mira Prats
2326120830,Carlos A. Casta˜no Moraga
2326120260,David Vilares
2301578851,Luis Chiruzzo
143785644,J. McArdle
9675266,L. Sellin
4840789,K. Coakley
5915801,J. Potian
4117909,K. Hognason
2256982021,Chunqiang Hu
2269116665,Jianshuo Liu
2065047229,H. Xia
2682477,Shaojiang Deng
2144477724,Jiguo Yu
4334792,Logan D. C. Bishop
1390055728,Anastasiia Misiura
4048008,Nicholas A Moringo
35942724,C. Landes
1690237,G. Taubin
2833257,F. Cukierman
48733752,Steve Sullivan
144189388,J. Ponce
1765887,D. Kriegman
10779040,Zhenfei Bi
90550403,Weiqi Hong
47987927,Jingyun Yang
6967504,Shuaiyao Lu
31243878,Xiaozhong Peng
6348443,V. Mouraviev
1938720,Bongyong Lee
2072736723,V. Patel
2141423864,D. Albala
145513580,T. B. Johansen
2170606,A. Partin
5428511,A. Ross
5217034,Ranjan J. Perera
2324210458,Kai Wang
2143927117,Baoping Xue
2297371031,Yan He
2323766027,Haibin Zhao
2297374226,Bo Liu
2323675157,Wenting Jiang
2323627961,Pengfei Jin
2323752559,Yanfeng Wang
2324019601,Xiangqian Zhang
2202045007,Xiaolong He
21669569,Scott S. Kolmar
2776146,C. Grulke
82882025,Shaza M Elhusseiny
1401735410,Taghrid S El-Mahdy
31827166,M. Awad
12004894,N. Elleboudy
46721879,M. Farag
2048614905,M. A. Yassein
144216319,K. Aboshanab
96267255,T. Kudera
6120475,I. Doskočil
10719534,H. Salmonova
31925882,M. Petrtýl
6223193,E. Skřivanová
47466996,L. Kokoska
4867177,E. Nevedomskaya
4128102,B. Haendler
144389468,M. Verma
2150280867,George L. Wright
79896955,S. Hanash
1402163992,R. Gopal‐srivastava
143773084,S. Srivastava
2328793530,Ting Chen
2328442829,Ting Huang
2328436197,Moudan Ye
2328941679,Jinhai Shen
1424297574,D. S. Villarreal-Lucio
1472904625,K. Vargas-Berrones
1422255674,L. Díaz de León-Martínez
2190596702,Rogelio Flores-Ramíez
2045253,C. Quigley
6171001,P. Fechner
8275967,M. Geffner
5180978,E. Eugster
48766400,J. Ross
7978084,R. Habiby
13056983,F. Ugrasbul
39622711,K. Rubin
33147797,S. Travers
7187449,C. Antalis
46200898,Hiren Patel
34107536,M. Davenport
46756127,Chenglong Yu
144604357,B. Baune
144096988,Ma-Li Wong
6289993,J. Licinio
9846010,Dzifa Dordunoo
2274714500,Jacqueline Limoges
2274721827,Patrick Chiu
2181088188,Rebecca Puddester
2274721597,Lindsay Carlsson
151500506,April Pike
4320607,C. G. Moscoso
1404371717,Kelly R Potz
1406130495,Shaoyuan Tan
5535458,P. Jacobson
22784439,Kavita M. Berger
2236440,C. Steer
10766643,Daniel J. Becker
33008600,A. Washburne
39878453,Christina L. Faust
5319892,E. Mordecai
5262090,R. Plowright
145311850,L. Duncan
2256603973,H. Shen
2256549419,Anton Schulmann
2149202262,Tayden Li
2256827614,Bhaskar Kolachana
2257548495,Ajeet Mandal
2256828759,Ningping Feng
3582372,P. Auluck
2256552029,S. Marenco
2092174115,S. Andole
8851634,Gouthami Thumma
89118299,R. R. Alavala
6944063,Kiran Gangarapu
46864134,E. Gianazza
4969119,M. Brioschi
5489158,R. Baetta
1800266905,Alice Mallia
4897742,C. Banfi
2042046,E. Tremoli
2324916561,Allan Kalungi
2248183861,D. J. Stein
6115268,Niran Okewole
2144460757,S. Fatumo
78380230,Anjali Bajaj
66872570,Samatha Mathew
8114311,S. Vellarikkal
2038775,A. Sivadas
1396207560,R. Bhoyar
2106133,Kandarp Joshi
49148123,Abhinav R Jain
91468608,A. Mishra
1937246,A. Verma
5765399,R. Jayarajan
49127760,A. Nalini
2145937885,A. Kumar
25155719,A. Seeralar
2109989872,Aayush Gupta
32331196,A. Srivastava
3007887,Aditi Joshi
5831560,A. Sinha
12481678,A. Jandial
2124951516,Afreen Khan
30906596,A. Sonakar
1392751246,A. Chandy
2109647123,Aman Sharma
1908592,A. Roy
144682593,A. Rawat
4491372,Amitabh Biswas
1396433857,Andrew Vanlalawma
4763340,A. Chaudhary
2702553,A. Chopra
1382200707,Ankit Panday
49740913,A. Sabharwal
48011808,Ankita Mitra
49902738,A. Narang
80140178,A. Rajab
2119321944,Anoop Kumar
35098318,A. Gurjar
38749164,A. Ranawat
1394695565,R. Anu
35232639,A. Tiwary
90877802,Anuradha
82039271,Aquil Kalanad
123831003,A. Mathur
50234477,A. Lakshman
1899445515,A. Batra
46531107,A. Bagga
35125597,A. Aggarwal
2110030341,Ashok K. Gupta
34133078,A. Rastogi
50719639,P. Aslam
1396433932,V. Astha
