journalId,name,ISSN,url
f99f77b7-b1b6-44d3-984a-f288e9884b9b,Scientific Reports,2045-2322,http://www.nature.com/srep/
643a31e6-3016-4604-beca-0edfc0e2a834,Applied and Environmental Microbiology,0099-2240,https://aem.asm.org/
8506a01a-40b8-4e6f-bbb8-ce2492139c15,International Journal of Molecular Sciences,1422-0067,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-157693
4c1bc8cf-5a6c-4b67-8d4a-dbc2ce7a06ae,Clinical Endocrinology,0300-0664,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2265
91b19bbf-b6f0-46c2-bbec-6bcfb5463d4d,Molecules,1420-3049,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-165877
2c848e20-374c-474b-a180-a4e0cf3cf947,Neuropharmacology,0028-3908,http://www.elsevier.com/locate/neuropharm
83b61ff8-462d-4e1d-b43b-5d96fcc87766,IEEE Transactions on Network Science and Engineering,2327-4697,http://ieeexplore.ieee.org/servlet/opac?punumber=6488902
8f99db2e-5ab5-462f-829a-8eeced9b7be1,Journal of Chromatography A,0021-9673,http://www.elsevier.com/locate/chroma
25248f80-fe99-48e5-9b8e-9baef3b8e23b,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,http://www.computer.org/tpami/
5fa47c5b-3769-4934-b526-7192a1720a78,MedComm,2688-2663,https://onlinelibrary.wiley.com/journal/26882663
fd4675fe-4136-446c-aefd-3658aae698ac,Journal of Cheminformatics,1758-2946,https://jcheminf.biomedcentral.com/
9f1937fb-4eb5-485c-996b-9d546e352cb4,Pharmaceuticals,1424-8247,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-169194
fa1f0815-0811-4291-b4fc-8230a6c9bf5b,Annals of the New York Academy of Sciences,0077-8923,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-6632
03446d0e-493b-4f36-9ec4-e9279e4747aa,Environmental science and pollution research international,0944-1344,https://www.springer.com/environment/journal/11356
6b515834-8065-438e-8a99-175de02e242a,Hormone Research in Paediatrics,1663-2818,http://www.karger.com/HRP
42a95f72-e74e-4b59-a4e0-3afae6e109c2,Journal of Affective Disorders,0165-0327,http://www.elsevier.com/locate/jad
0aed7a40-85f3-4c66-9e1b-c1556c57001b,PLoS ONE,1932-6203,https://journals.plos.org/plosone/
92d34d37-5c4b-4e11-b461-9041b7de4c2d,Philosophical Transactions of the Royal Society of London. Biological Sciences,0962-8436,https://www.jstor.org/journal/philtranbiolscie
e696c44c-baef-439c-bb1f-12bfe905eb77,Neuropsychopharmacology,0893-133X,https://www.nature.com/npp/
9f814bbe-0b77-43ab-b0b8-61ba1b86ca52,Journal of Biomolecular Structure and Dynamics,0739-1102,http://www.adeninepress.com/jbsd/
d5330fba-951d-47e5-bb5a-4e143054ab81,Communications Medicine,2730-664X,https://www.nature.com/commsmed/
75be2983-1368-4aaf-98a5-b944e9f8cca4,Human Genomics,1473-9542,https://humgenomics.biomedcentral.com/
134729e0-684f-4b25-912c-6fd0d5855983,Journal of Chromatographic Science,0021-9665,https://academic.oup.com/chromsci/issue
6568cb67-580e-4d7a-9363-c021e3910760,Orvosi Hetilap,0030-6002,https://www.orvosihetilap.com/
0650c289-97b1-4db5-a39d-247ed29f04e3,RSC Advances,2046-2069,http://www.rsc.org/advances
056efaa3-b9f5-41c6-b9d1-668f5d6fa759,Journal of Intellectual Disability Research,0964-2633,http://www.blackwell-synergy.com/member/institutions/issuelist.asp?journal=jir
ed36a997-a5a1-4f1f-a00c-3700322c11cc,Malaria Journal,1475-2875,http://www.malariajournal.com/
f06e7ee6-cd20-45a8-91f9-6c84bcddc5fd,Optics Express,1094-4087,http://www.opticsexpress.org/Issue.cfm
32505816-936f-497d-8f3c-ee241a290329,"Soft Computing - A Fusion of Foundations, Methodologies and Applications",1432-7643,https://link.springer.com/journal/500
0f3e46f8-faf8-44a8-8e9c-f3f5c9b99e13,Disease Markers,0278-0240,https://www.hindawi.com/journals/dm/
7c7081ff-cde3-49d7-aa8a-8f29ecc4f0a0,Biology Direct,1745-6150,http://www.biology-direct.com/
