paperId,editionId,pages
1fad26186df2927fa46a552802942523e429839a,bb4ef8f3-6eac-4f7e-8429-259c32f28bbb,436-443
ebe53532339772db4d79d053f7be8e385a4cd58b,6e15ce2f-dbc2-4511-af72-c1526d1a285a,
d58d863a4d03e0a4ffadd6780c65572e3a7c420c,a6d1d0e9-d1e9-457f-952d-e0e40625e61a,1256-1260
37ad55166ec7f279a8065b2506ac95cbea1647e9,7e315c56-1d8d-4725-8280-86bedf5ff63f,93-97
29a6fc9ac58ee194b2c9e4301a2fca7b8f92508a,2f470c2d-bed7-4e81-8b8a-67a3b29b5fb6,
a15fa0142394c339667fd83543b1261ea9b71eaa,20fada34-727c-4ec2-bac4-664c5d723b01,15203-15217
462576e4d01b212675b6d4bcd5074d9eb11a1ee0,94c0cc01-c577-4d5d-b102-2fcb6512a46c,1-6
fb0df470cac12ac0a8393bbdcce221e791518e27,1b756811-9ff9-4a45-8bf0-1ad9ebe4bf20,217-222
98133933926a725fb18860383d52c0c60282637f,028fc032-0b1e-476e-9b47-fc17a71c999b,7774-7786
6def6cf415e911a3f0b9e9f04ad02031f43ff1d1,fd7cd9c3-05b3-4aa7-be8d-3ae12e8146f0,787-793
7a16aeb30021773a24280397cb9e8edda090b869,5cf4ca49-dc84-4302-b0b0-55b10df8f3e3,1389-1393
7733f0c3571cbc8b2ffa13086d21dc3798b505b9,b9c74f04-bd23-4b93-b4ab-662b695fe449,
bd9ebacd8fca0a22094f7e450bb12a10b4efbd35,64e6ba4e-87f0-46a2-8ae7-1f55a05f3eaf,405
725c548a3dae1b53f9d22e2658599de3417992a5,a6d1d0e9-d1e9-457f-952d-e0e40625e61a,230-235
62abbeaf30327bc020370fe0108b2b4764b6aa91,ba1cb414-003d-4313-a4ca-c55436d0db66,1884-1891
7221ea3f7ae2cd570a717e61fd15e8cbca16205b,d3c484e3-fc60-4e73-94cc-ca8285ebfe11,172-181
f6dd776f1186627917499365c73b7ffc40ee92f7,3cc353d2-8540-440a-a952-cd42bb2045bc,1-10
523b451e99503f69f14811324da3c6ce8e1b712c,48aee7d3-ea4e-4416-84eb-ff20d7b88f94,1-6
c5769753399531f5e0b145288b98c67e47e7c8e9,ef90fca3-8d13-4120-92bc-80e900aa931b,1-11
8744eba694e782743ccb008d367c26c276ca675b,83c3f94e-9b46-480c-a659-0c5daf7b3b9f,1-6
af761fe9335dcd7d41dab4580aff20ef713d62c3,6021684d-8596-49d3-b02b-fbace93a86dc,702-707
1b195966c37b523edf44f021a7a19178a2bf9438,e051bac0-e18a-4b26-90aa-e751a93eee93,710-715
0e8fd9b3940ecde2ad39edaa514b45a3dde55511,253d8255-2a89-4607-a93c-a612bedce60c,2286-2289
977cc355f1008498af28db8f600377b7d2f9a2ec,d320e9e3-41e5-4c4f-89a6-6774f571614c,1-7
c2f767b779b674611f2977c8e881d3984e10b06f,a1ecbc56-fdff-400b-b5ef-2f5dbfa540eb,572-576
80e120f0df54455fc161c4df3f58697af3a10448,96ad007f-3479-4aec-ad78-582f692ccc8d,1-6
cafb3f27c1b40bd6e9f11b25dea6b957cb7f8596,4d369177-d251-4123-85a3-f08e6ae48640,587-592
67ecaf5395891a64ee58e505416ed1fa42cb4cc3,a576bc87-cb6f-4542-b24a-aff5c36beeff,
39de27b3ba14f358ff4c9adc0a79fd1206fc7292,69575fb2-34a6-454f-b1f3-61c04f6bf654,17-29
590e46b6b27e590164d2d5a99504b53e3d697fa8,085f8374-5b41-44f5-ae91-7d7b2e93c672,1-5
0d7bf5c380109a7b669065e6163bd7dcd43460df,03f38b13-8558-450e-9cd7-29b284f3e7aa,893-897
e6e0a7adde3bf95e57db6161e9157ba7c854509c,0351d8f9-75b9-4aca-885b-c01c40af99d6,
87746486530af2915c01672bfa703e9d994dfea4,6f962ecd-82fe-4032-bf55-a59faf59bdd0,305-308
e9ec18d51c9ddcd1c0977f46183bab557bff13f6,1088ac66-0110-4112-8eed-3f424720b905,1-8
256cabaf8fcda30384e10ac314b3444a999f6d16,ca965d44-f5e9-49d4-83b8-4a3c6a64e576,159-162
ec99fab46036cdbce2413a44bfb34f3c3b5863a9,92255d44-2ce2-4a0c-af25-61e2085a1b01,01-07
e1010148d985c2ab9d4bc1b78bd117af8ddb8b47,5baef818-3e72-4a25-9a4c-2242317cf153,
d342f756e3d10155c754ae4756631a7902c3a6d4,253d8255-2a89-4607-a93c-a612bedce60c,42-49
8cf40929551387deae2d668a15eb6fbf77b3c070,5f01d6e9-22c0-443c-ba76-d0c27e319304,458-464
05f689772fb1ae5a47b5089b2c38f9b53156d285,b2b4c2cb-6e56-4a28-8a84-80ab566d7f8b,10896-10904
8c16aea894e8cd716416941f0c2c586a74e85e53,f4f490f0-1f24-4605-91ea-ad1805ec766a,175-186
f2e9d90726e7dd5b9aab2fa63399cd84f70719c2,e7d6cbb9-f5a8-4727-96fa-2e0e92e9ab77,29-34
