paperId,volumeId,pages
c5447f3c64ec971b610d663f70d9e0051e3fc8d2,70af0ca8-7a10-4268-8f67-61569fa88cf0,
51a47b0fcb4185e57d52c7bd0bec0aa62ae4c26c,fac3ccb9-0c02-4a3d-ba63-8040ad0e3965,
504efb13c5a675352c3ca19c646a52bfb0baabc1,380797bb-bbc0-4a33-8a37-631365c91c48,
b3d3500e66874b3eab75140bb85ad00696251e58,34c21898-1d67-48e7-8e97-098e303be5c9,428 - 438
b41c09d98afe19dee5037342568e3f410bb949f6,4158eac0-efce-410a-9fe4-2af8a08c2a7d,
ac515f1c583bd23f3da86ed93715b8e07924f1c4,e2dc950a-7a8d-4221-a0ef-0a4cf1249d29,345-353
ff4a0d78678c2f800ea41935e99d9d2eedad4713,61852275-01b9-49d6-ace3-49593d8f763d,2138-2152
6b7269e76d5867e858a56ec441436be562befce1,f0f5400a-709c-4acc-b908-a4a3133e5ca1,"
          461323
        "
9b933208b1c80080decadef5ebeb9738cb9d4cd5,4ff1b66d-187f-4839-9d97-68d20d7683dc,287-303
099d8dc65b5d73410a08cecdc2979fdecd97c50d,3571bb9b-6495-451c-a7b0-9852a04d7893,548 - 568
8d16f91ca083056e502c88b0288e3a3c4ea38c46,ef06c0d3-1058-40d0-9f36-d72394c04bdb,
61337e7e96bea7bcbd961a525bccb825d6b64236,24b9776b-5395-4642-a263-3defd9de04ff,
6be5ae8353f5f35fac1085d2b0cdaaaff5535c98,bb9c7237-c9db-4794-b934-4141adb312a5,
c217e891665ab383c002b0d4c91f766b6ff9db9d,cc54b127-0c67-4a8c-81e1-9c799c46dd7b,
8f102ab642600b59e2c6216a6d7a62d3dffa2d46,802eedd5-53ce-4276-8312-40ef52562cdf,
9b515737a15aa849dd1dffb54137794a78345732,2e5b312c-3bc5-4a59-aa8a-7be3e8afb5e5,
3c061885f7706685c2659435be9c0dfd6074683a,04895c79-2bef-422a-8c32-ee2398b2761b,
a42384e0c7994d9ef453eaa7d9eb2183d8ffe416,1dc3469d-4e9e-4323-b70b-e1a4cef49e9a,89923 - 89942
344814cde6b47571ac08c1a3a0d26f92321e96e5,ab90e8e8-5a5e-489b-a896-0f3641dedd0d,18 - 35
b70c410e3e799a8d868b40ded736be54d94bdb64,8b7a4a4c-98b2-4fa1-a931-85aa1415a90e,"
          38-42
        "
